date,open,close
2015-01-02,24.694233092060063,24.237548828125
2015-01-05,24.006996022056626,23.554744720458984
2015-01-06,23.619034466383983,23.556961059570312
2015-01-07,23.76535030250549,23.88728141784668
2015-01-08,24.215387046826162,24.805086135864258
2015-01-09,24.977999733362566,24.831684112548828
2015-01-12,24.962484968593877,24.219818115234375
2015-01-13,24.703112777006453,24.434865951538086
2015-01-14,24.173259238412005,24.341745376586914
2015-01-15,24.38608229018397,23.681102752685547
2015-01-16,23.72765845555715,23.497098922729492
2015-01-20,23.907228064640975,24.102317810058594
2015-01-21,24.153307189951693,24.28632354736328
2015-01-22,24.443724184160846,24.91814422607422
2015-01-23,24.89597392403558,25.046724319458008
2015-01-26,25.21521630881702,25.073333740234375
2015-01-27,24.922579223516976,24.195430755615234
2015-01-28,26.07759332327218,25.563268661499023
2015-01-29,25.787181068734693,26.359146118164062
2015-01-30,26.248303130153793,25.973405838012695
2015-02-02,26.1707059874969,26.299285888671875
2015-02-03,26.27046066624386,26.303714752197266
2015-02-04,26.27046050218468,26.50545310974121
2015-02-05,26.7124451524758,26.69464111328125
2015-02-06,26.71244351282826,26.469846725463867
2015-02-09,26.385269347401834,26.645671844482422
2015-02-10,26.74582961803202,27.157577514648438
2015-02-11,27.324501302281014,27.794116973876953
2015-02-12,28.056747852813622,28.145774841308594
2015-02-13,28.328276526199947,28.283763885498047
2015-02-17,28.375013885390867,28.450687408447266
2015-02-18,28.406174714937425,28.648773193359375
2015-02-19,28.595358901715098,28.588682174682617
2015-02-20,28.626516545928553,28.822376251220703
2015-02-23,28.93812393514121,29.60137176513672
2015-02-24,29.58800703976149,29.416629791259766
2015-02-25,29.28085703698737,28.66434669494629
2015-02-26,28.66434931718159,29.02713394165039
2015-02-27,28.933664924326695,28.590913772583008
2015-03-02,28.76673444336919,28.731122970581055
2015-03-03,28.702194416757287,28.79121971130371
2015-03-04,28.73334565301747,28.608705520629883
2015-03-05,28.617610709042626,28.134641647338867
